date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-01-01 00:00:00,25.6,24,28,4.2,,288,11.7,,1010.8,
2025-01-02 00:00:00,25.2,23,28,4.8,,283,10.8,,1011.3,
2025-01-03 00:00:00,25.5,24,30,1.5,,283,11.7,,1011.4,
2025-01-04 00:00:00,25.2,24,28,2.5,,290,10.9,,1011.2,
2025-01-05 00:00:00,26,23,30,8.2,,299,7.5,,1010.6,
2025-01-06 00:00:00,25.9,24,29,2.7,,291,11.4,,1010.5,
2025-01-07 00:00:00,27.3,23,32,1.2,,344,6,,1010.2,
2025-01-08 00:00:00,27.4,24,32,0.1,,359,9.5,,1010.2,
2025-01-09 00:00:00,26.6,23,32,0,,8,8.1,,1010,
2025-01-10 00:00:00,26.2,22,31,2.3,,345,6.2,,1009.5,
2025-01-11 00:00:00,26.6,23,30,4.6,,347,6.6,,1010.3,
2025-01-12 00:00:00,27.1,22,32,0,,345,8.7,,1010.3,
2025-01-13 00:00:00,27,22,32,0,,359,10.3,,1011.9,
2025-01-14 00:00:00,27.5,23,32,0,,11,12.8,,1011.9,
2025-01-15 00:00:00,26.6,22,32,1.2,,23,10.6,,1012.3,
2025-01-16 00:00:00,26.9,22,32,0.4,,20,9.8,,1013.1,
2025-01-17 00:00:00,26.8,23,32,1.5,,19,11.2,,1012.8,
2025-01-18 00:00:00,26.6,22,34,0.9,,34,5.5,,1011.8,
2025-01-19 00:00:00,27.1,22,33,1.2,,344,7.2,,1011.4,
2025-01-20 00:00:00,27.3,23,33,2.6,,1,8.6,,1011.1,
2025-01-21 00:00:00,27.6,23,33,1.1,,290,6.2,,1010.6,
2025-01-22 00:00:00,27.4,22,33,4.9,,16,8.5,,1010.7,
2025-01-23 00:00:00,27.3,22,33,1.8,,12,9.9,,1010.2,
2025-01-24 00:00:00,26.5,22,32,1.6,,341,7.1,,1010.3,
2025-01-25 00:00:00,27.3,24,31,0,,23,15,,1010.9,
2025-01-26 00:00:00,27.3,23,32,0.2,,0,10,,1010.6,
2025-01-27 00:00:00,27.3,22,33,0.2,,348,6.5,,1008.8,
2025-01-28 00:00:00,27.8,23,33,0,,355,13.5,,1009.1,
2025-01-29 00:00:00,27.9,23,33,1.7,,12,10.8,,1009.3,
2025-01-30 00:00:00,28,23,34,1.6,,15,9.5,,1009,
2025-01-31 00:00:00,27.8,23,35,3.3,,15,6.8,,1008.1,
