Día,Temperatura Máxima (°C),Temperatura Mínima (°C),Temperatura Promedio (°C),Lluvia Mes Actual (mm),Lluvia Acumulada Actual (mm),Lluvia Promedio Histórico (mm),Lluvia Acumulada Promedio Histórico (mm),Viento Velocidad Máxima (Km/h),Viento Dirección Máxima (°),Viento Hora Máxima,Dirección del Viento Predominante
1.0,27.6,24.2,25.9,2.8,2.8,0.5,0.5,25.9,20,13:00,Norte
2.0,28.1,22.8,25.5,1.4,4.2,2.2,2.7,18.5,300,16:00,Oeste
3.0,29.9,23.8,26.9,23.0,27.2,2.0,4.7,18.5,280,17:00,Oeste
4.0,27.4,23.8,25.6,13.3,40.5,1.7,6.4,18.5,280,13:00,Oeste
5.0,29.6,23.2,26.4,14.9,55.4,2.0,8.4,16.7,50,15:00,Oeste
6.0,29.4,23.9,26.7,4.8,60.2,1.3,9.7,22.2,290,17:00,Oeste
7.0,31.8,23.3,27.6,0.0,60.2,0.2,9.9,18.5,40,12:30,Oeste
8.0,32,23.9,28,0.0,60.2,3.8,13.7,26.0,30,12:00,Noreste
9.0,32.2,22.8,27.5,0.0,60.2,0.7,14.4,22.2,20,15:00,Noreste
10.0,30.7,22.2,26.5,0.0,60.2,2.4,16.8,12.9,200,15:00,Norte
11.0,30.4,23,26.7,0.0,60.2,0.1,16.9,16.7,60,13:00,Noreste
12.0,32.6,21.5,27.1,0.0,60.2,0.7,17.6,18.5,40,14:00,Variable
13.0,31.9,21.8,26.9,0.0,60.2,1.8,19.4,20.4,30,15:00,Noroeste
14.0,32.2,22.9,27.6,0.0,60.2,1.0,20.4,,,,Oeste
15.0,31.8,21.9,26.9,0.0,60.2,1.3,21.7,29.6,40,13:00,Noreste
16.0,31.7,21.5,26.6,0.0,60.2,0.2,21.9,,,,Norte
17.0,31.8,23.3,27.6,0.0,60.2,0.4,22.3,27.8,30,13:00,Noreste
18.0,33.5,22,27.8,0.0,60.2,0.7,23.0,14.8,180,16:00,Sureste
19.0,33.2,22.4,27.8,0.0,60.2,1.0,24.0,14.8,60,12:00,Oeste
20.0,33.6,22.6,28.1,0.0,60.2,2.0,26.0,18.5,60,13:00,Norte
21.0,33.2,23.1,28.2,0.0,60.2,0.0,26.0,14.8,180,13:00,Oeste
22.0,33.1,23.3,28.2,0.0,60.2,0.2,26.2,20.4,20,16:00,Noreste
23.0,33.4,22,27.7,0.0,60.2,0.2,26.4,24.1,30,11:00,Noreste
24.0,31.4,22.2,26.8,0.0,60.2,0.0,26.4,18.5,30,17:00,Suroeste
25.0,31.5,23.5,27.5,1.8,62.0,0.0,26.4,55.5,50,12:00,Noreste
26.0,32.3,22.6,27.5,0.0,62.0,0.0,26.4,25.9,20,12:00,Norte
27.0,32.9,22.4,27.7,0.0,62.0,0.2,26.6,18.5,10,11:00,Noreste
28.0,32.9,22.6,27.8,0.0,62.0,0.0,26.6,27.8,10,12:00,Noreste
29.0,33.2,23.1,28.2,0.0,62.0,0.2,26.8,22.2,40,14:00,Oeste
30.0,34,27.7,30.9,0.0,62.0,0.1,26.9,22.2,20,14:00,Norte
31.0,34.5,22.5,28.5,0.0,62.0,0.0,26.9,18.5,10,15:00,Variable
